"","taxon_family_name","taxon_species_name","n"
"1","Asteraceae","Acanthospermum australe",24
"2","Asteraceae","Acanthostyles buniifolius",65
"3","Asteraceae","Achillea millefolium",1
"4","Asteraceae","Achyrocline alata",3
"5","Asteraceae","Achyrocline flaccida",18
"6","Asteraceae","Achyrocline saturejoides",44
"7","Asteraceae","Acmella decumbens",24
"8","Asteraceae","Adenostemma brasilianum",2
"9","Asteraceae","Aldama anchusifolia",7
"10","Asteraceae","Aldama breviflosculosa",1
"11","Asteraceae","Aldama nudicaulis",3
"12","Asteraceae","Aldama tuberosa",1
"13","Asteraceae","Ambrosia artemisiifolia",6
"14","Asteraceae","Ambrosia tenuifolia",37
"15","Asteraceae","Angelphytum grisebachii",1
"16","Asteraceae","Anthemis cotula",3
"17","Asteraceae","Arctium minus",15
"18","Asteraceae","Aspilia montevidensis",168
"19","Asteraceae","Aspilia silphioides",2
"20","Asteraceae","Austroeupatorium inulifolium",61
"21","Asteraceae","Baccharis aliena",41
"22","Asteraceae","Baccharis anomala",4
"23","Asteraceae","Baccharis arenaria",3
"24","Asteraceae","Baccharis articulata",67
"25","Asteraceae","Baccharis breviseta",1
"26","Asteraceae","Baccharis cognata",1
"27","Asteraceae","Baccharis coridifolia",53
"28","Asteraceae","Baccharis crispa",1
"29","Asteraceae","Baccharis cultrata",3
"30","Asteraceae","Baccharis darwinii",2
"31","Asteraceae","Baccharis dracunculifolia",89
"32","Asteraceae","Baccharis genistifolia",6
"33","Asteraceae","Baccharis gibertii",1
"34","Asteraceae","Baccharis glutinosa",8
"35","Asteraceae","Baccharis gnaphalioides",15
"36","Asteraceae","Baccharis jocheniana",16
"37","Asteraceae","Baccharis juncea",3
"38","Asteraceae","Baccharis linearifolia",26
"39","Asteraceae","Baccharis microcephala",1
"40","Asteraceae","Baccharis microdonta",28
"41","Asteraceae","Baccharis notosergila",47
"42","Asteraceae","Baccharis ochracea",21
"43","Asteraceae","Baccharis oxyodonta",6
"44","Asteraceae","Baccharis palustris",1
"45","Asteraceae","Baccharis patens",24
"46","Asteraceae","Baccharis phyteumoides",13
"47","Asteraceae","Baccharis psiadioides",1
"48","Asteraceae","Baccharis punctulata",46
"49","Asteraceae","Baccharis rectialata",4
"50","Asteraceae","Baccharis salicifolia",2
"51","Asteraceae","Baccharis sessiliflora",1
"52","Asteraceae","Baccharis spicata",99
"53","Asteraceae","Baccharis tridentata",2
"54","Asteraceae","Baccharis trimera",118
"55","Asteraceae","Baccharis vulneraria",7
"56","Asteraceae","Barrosoa betoniciformis",3
"57","Asteraceae","Barrosoa candolleana",22
"58","Asteraceae","Berroa gnaphalioides",5
"59","Asteraceae","Bidens aurea",21
"60","Asteraceae","Bidens laevis",31
"61","Asteraceae","Bidens pilosa",44
"62","Asteraceae","Bidens subalternans",12
"63","Asteraceae","Calea uniflora",23
"64","Asteraceae","Calendula officinalis",2
"65","Asteraceae","Calyptocarpus brasiliensis",7
"66","Asteraceae","Campovassouria cruciata",7
"67","Asteraceae","Campuloclinium macrocephalum",85
"68","Asteraceae","Carduus acanthoides",36
"69","Asteraceae","Carduus nutans",2
"70","Asteraceae","Carduus pycnocephalus",3
"71","Asteraceae","Carduus tenuiflorus",1
"72","Asteraceae","Carthamus lanatus",12
"73","Asteraceae","Centaurea calcitrapa",11
"74","Asteraceae","Centaurea solstitialis",1
"75","Asteraceae","Chaptalia arechavaletae",22
"76","Asteraceae","Chaptalia exscapa",8
"77","Asteraceae","Chaptalia integerrima",2
"78","Asteraceae","Chaptalia nutans",4
"79","Asteraceae","Chaptalia piloselloides",22
"80","Asteraceae","Chaptalia sinuata",2
"81","Asteraceae","Chevreulia sarmentosa",5
"82","Asteraceae","Chromolaena caaguazuensis",1
"83","Asteraceae","Chromolaena christieana",3
"84","Asteraceae","Chromolaena hirsuta",129
"85","Asteraceae","Chromolaena ivifolia",3
"86","Asteraceae","Chromolaena laevigata",6
"87","Asteraceae","Chromolaena squarrulosa",17
"88","Asteraceae","Chrysanthellum indicum",1
"89","Asteraceae","Chrysolaena cognata",1
"90","Asteraceae","Chrysolaena flexuosa",131
"91","Asteraceae","Chrysolaena platensis",2
"92","Asteraceae","Cichorium intybus",82
"93","Asteraceae","Cirsium vulgare",92
"94","Asteraceae","Cladanthus mixtus",38
"95","Asteraceae","Coleostephus myconis",77
"96","Asteraceae","Coreopsis lanceolata",7
"97","Asteraceae","Cosmos bipinnatus",2
"98","Asteraceae","Cosmos sulphureus",1
"99","Asteraceae","Cotula australis",6
"100","Asteraceae","Cotula coronopifolia",13
"101","Asteraceae","Cotula nigellifolia",14
"102","Asteraceae","Criscia stricta",35
"103","Asteraceae","Cynara cardunculus",35
"104","Asteraceae","Cyrtocymura scorpioides",4
"105","Asteraceae","Dasyphyllum spinescens",9
"106","Asteraceae","Delairea odorata",2
"107","Asteraceae","Dimerostemma grisebachii",2
"108","Asteraceae","Dimorphotheca ecklonis",1
"109","Asteraceae","Disynaphia calyculata",2
"110","Asteraceae","Disynaphia spathulata",2
"111","Asteraceae","Dittrichia viscosa",1
"112","Asteraceae","Eclipta elliptica",57
"113","Asteraceae","Eclipta megapotamica",5
"114","Asteraceae","Eclipta prostrata",17
"115","Asteraceae","Elephantopus angustifolius",2
"116","Asteraceae","Elephantopus mollis",18
"117","Asteraceae","Enydra fluctuans",6
"118","Asteraceae","Erechtites hieraciifolius",9
"119","Asteraceae","Erechtites valerianifolius",17
"120","Asteraceae","Erigeron blakei",13
"121","Asteraceae","Erigeron bonariensis",32
"122","Asteraceae","Erigeron canadensis",1
"123","Asteraceae","Erigeron lorentzii",2
"124","Asteraceae","Erigeron primulifolius",10
"125","Asteraceae","Euryops chrysanthemoides",3
"126","Asteraceae","Exostigma notobellidiastrum",1
"127","Asteraceae","Exostigma rivulare",1
"128","Asteraceae","Facelis retusa",12
"129","Asteraceae","Galinsoga parviflora",10
"130","Asteraceae","Galinsoga quadriradiata",1
"131","Asteraceae","Gamochaeta americana",10
"132","Asteraceae","Gamochaeta argentina",1
"133","Asteraceae","Gamochaeta falcata",3
"134","Asteraceae","Gamochaeta filaginea",4
"135","Asteraceae","Gamochaeta pensylvanica",3
"136","Asteraceae","Gamochaeta stachydifolia",1
"137","Asteraceae","Gazania rigens",5
"138","Asteraceae","Glebionis coronaria",1
"139","Asteraceae","Grazielia brevipetiolata",32
"140","Asteraceae","Grazielia intermedia",5
"141","Asteraceae","Grazielia serrata",15
"142","Asteraceae","Grindelia linearifolia",1
"143","Asteraceae","Grindelia orientalis",5
"144","Asteraceae","Grindelia pulchella",18
"145","Asteraceae","Gymnocoronis spilanthoides",26
"146","Asteraceae","Gyptis commersonii",8
"147","Asteraceae","Gyptis lanigera",2
"148","Asteraceae","Gyptis pinnatifida",3
"149","Asteraceae","Gyptis tanacetifolia",23
"150","Asteraceae","Hatschbachiella tweedieana",38
"151","Asteraceae","Hedypnois rhagadioloides",5
"152","Asteraceae","Helenium amarum",2
"153","Asteraceae","Helenium uniflorum",16
"154","Asteraceae","Helianthus annuus",1
"155","Asteraceae","Helianthus tuberosus",5
"156","Asteraceae","Helminthotheca echioides",38
"157","Asteraceae","Hieracium commersonii",6
"158","Asteraceae","Hieracium palezieuxii",2
"159","Asteraceae","Holocheilus brasiliensis",6
"160","Asteraceae","Holocheilus hieracioides",4
"161","Asteraceae","Hymenoxys anthemoides",2
"162","Asteraceae","Hypochaeris albiflora",16
"163","Asteraceae","Hypochaeris chillensis",19
"164","Asteraceae","Hypochaeris glabra",1
"165","Asteraceae","Hypochaeris grisebachii",1
"166","Asteraceae","Hypochaeris lutea",1
"167","Asteraceae","Hypochaeris megapotamica",14
"168","Asteraceae","Hypochaeris radicata",90
"169","Asteraceae","Hypochaeris variegata",5
"170","Asteraceae","Hysterionica chamomilloides",1
"171","Asteraceae","Hysterionica montevidensis",3
"172","Asteraceae","Hysterionica resinosa",10
"173","Asteraceae","Isostigma peucedanifolium",2
"174","Asteraceae","Jaumea linearifolia",4
"175","Asteraceae","Jungia floribunda",1
"176","Asteraceae","Laceanthos cymosus",2
"177","Asteraceae","Lactuca saligna",1
"178","Asteraceae","Lactuca sativa",1
"179","Asteraceae","Lactuca serriola",7
"180","Asteraceae","Lemmatium clematideum",10
"181","Asteraceae","Leptostelma tweediei",1
"182","Asteraceae","Lessingianthus brevifolius",5
"183","Asteraceae","Lessingianthus glabratus",1
"184","Asteraceae","Lessingianthus macrocephalus",3
"185","Asteraceae","Lessingianthus plantaginodes",21
"186","Asteraceae","Lessingianthus rubricaulis",3
"187","Asteraceae","Lessingianthus sellowii",3
"188","Asteraceae","Leucanthemum vulgare",2
"189","Asteraceae","Lucilia acutifolia",33
"190","Asteraceae","Lucilia nitens",10
"191","Asteraceae","Matricaria chamomilla",6
"192","Asteraceae","Melanthera latifolia",1
"193","Asteraceae","Microgyne marchesiana",3
"194","Asteraceae","Microgyne trifurcata",8
"195","Asteraceae","Micropsis dasycarpa",1
"196","Asteraceae","Micropsis spathulata",7
"197","Asteraceae","Mikania anethifolia",2
"198","Asteraceae","Mikania cordifolia",6
"199","Asteraceae","Mikania involucrata",10
"200","Asteraceae","Mikania pinnatiloba",5
"201","Asteraceae","Mikania sulcata",1
"202","Asteraceae","Mikania thapsoides",4
"203","Asteraceae","Moquiniastrum polymorphum",13
"204","Asteraceae","Mutisia coccinea",50
"205","Asteraceae","Neja filiformis",1
"206","Asteraceae","Neja pinifolia",41
"207","Asteraceae","Noticastrum acuminatum",39
"208","Asteraceae","Noticastrum chebataroffii",1
"209","Asteraceae","Noticastrum diffusum",44
"210","Asteraceae","Noticastrum malmei",9
"211","Asteraceae","Noticastrum marginatum",1
"212","Asteraceae","Noticastrum sericeum",1
"213","Asteraceae","Pamphalea bupleurifolia",3
"214","Asteraceae","Pamphalea heterophylla",4
"215","Asteraceae","Panphalea heterophylla",7
"216","Asteraceae","Pascalia glauca",4
"217","Asteraceae","Perezia multiflora",36
"218","Asteraceae","Perezia squarrosa",1
"219","Asteraceae","Picrosia longifolia",32
"220","Asteraceae","Pluchea sagittalis",75
"221","Asteraceae","Podocoma hirsuta",6
"222","Asteraceae","Porophyllum linifolium",46
"223","Asteraceae","Porophyllum ruderale",6
"224","Asteraceae","Praxelis clematidea",2
"225","Asteraceae","Pseudognaphalium cheiranthifolium",29
"226","Asteraceae","Pseudognaphalium gaudichaudianum",24
"227","Asteraceae","Pseudogynoxys chenopodioides",1
"228","Asteraceae","Pterocaulon alopecuroides",3
"229","Asteraceae","Pterocaulon angustifolium",23
"230","Asteraceae","Pterocaulon balansae",25
"231","Asteraceae","Pterocaulon cordobense",1
"232","Asteraceae","Pterocaulon lorentzii",12
"233","Asteraceae","Pterocaulon polypterum",1
"234","Asteraceae","Pterocaulon polystachyum",24
"235","Asteraceae","Pterocaulon virgatum",4
"236","Asteraceae","Radlkoferotoma berroi",1
"237","Asteraceae","Radlkoferotoma cistifolia",2
"238","Asteraceae","Radlkoferotoma cistifolium",12
"239","Asteraceae","Raulinoreitzia tremula",1
"240","Asteraceae","Schlechtendalia luzulifolia",79
"241","Asteraceae","Senecio angulatus",11
"242","Asteraceae","Senecio bonariensis",49
"243","Asteraceae","Senecio brasiliensis",78
"244","Asteraceae","Senecio ceratophylloides",4
"245","Asteraceae","Senecio cisplatinus",3
"246","Asteraceae","Senecio crassiflorus",220
"247","Asteraceae","Senecio heterotrichius",23
"248","Asteraceae","Senecio leptolobus",3
"249","Asteraceae","Senecio madagascariensis",157
"250","Asteraceae","Senecio mattfeldianus",3
"251","Asteraceae","Senecio ostenii",37
"252","Asteraceae","Senecio pinnatus",1
"253","Asteraceae","Senecio platensis",25
"254","Asteraceae","Senecio pterophorus",12
"255","Asteraceae","Senecio pulcher",16
"256","Asteraceae","Senecio saltensis",1
"257","Asteraceae","Senecio selloi",116
"258","Asteraceae","Senecio tamoides",4
"259","Asteraceae","Senecio tweediei",8
"260","Asteraceae","Senecio viravira",12
"261","Asteraceae","Senecio vulgaris",4
"262","Asteraceae","Silybum marianum",13
"263","Asteraceae","Smallanthus connatus",3
"264","Asteraceae","Solidago chilensis",78
"265","Asteraceae","Soliva macrocephala",1
"266","Asteraceae","Soliva sessilis",6
"267","Asteraceae","Sommerfeltia cabrerae",2
"268","Asteraceae","Sommerfeltia spinulosa",39
"269","Asteraceae","Sonchus asper",15
"270","Asteraceae","Sonchus oleraceus",70
"271","Asteraceae","Sphagneticola trilobata",2
"272","Asteraceae","Stenachaenium macrocephalum",22
"273","Asteraceae","Stenachaenium megapotamicum",11
"274","Asteraceae","Stenachaenium riedelii",10
"275","Asteraceae","Stenocephalum megapotamicum",1
"276","Asteraceae","Stevia aristata",1
"277","Asteraceae","Stevia cinerascens",2
"278","Asteraceae","Stevia entreriensis",1
"279","Asteraceae","Stevia multiaristata",7
"280","Asteraceae","Stevia satureiifolia",79
"281","Asteraceae","Symphyotrichum squamatum",16
"282","Asteraceae","Tagetes minuta",11
"283","Asteraceae","Tanacetum parthenium",2
"284","Asteraceae","Tanacetum vulgare",1
"285","Asteraceae","Taraxacum erythrospermum",1
"286","Asteraceae","Taraxacum officinale",43
"287","Asteraceae","Tessaria absinthioides",37
"288","Asteraceae","Tessaria dodonaeifolia",1
"289","Asteraceae","Tessaria integrifolia",1
"290","Asteraceae","Thelesperma megapotamicum",4
"291","Asteraceae","Tragopogon porrifolius",1
"292","Asteraceae","Trichocline cisplatina",5
"293","Asteraceae","Trichocline humilis",6
"294","Asteraceae","Trichocline incana",58
"295","Asteraceae","Trichocline minuana",3
"296","Asteraceae","Trixis nobilis",6
"297","Asteraceae","Trixis praestans",35
"298","Asteraceae","Urolepis hecatantha",46
"299","Asteraceae","Urospermum picroides",10
"300","Asteraceae","Verbesina subcordata",13
"301","Asteraceae","Vernonanthura montevidensis",23
"302","Asteraceae","Vernonanthura nudiflora",26
"303","Asteraceae","Vernonia echioides",3
"304","Asteraceae","Xanthium cavanillesii",5
"305","Asteraceae","Xanthium spinosum",16
"306","Asteraceae","Xanthium strumarium",35
"307","Asteraceae","Youngia japonica",7
"308","Asteraceae","Zinnia elegans",2
"309","Cactaceae","Austrocylindropuntia subulata",1
"310","Cactaceae","Brasiliopuntia brasiliensis",1
"311","Cactaceae","Cereus hildmannianus",164
"312","Cactaceae","Echinopsis oxygona",29
"313","Cactaceae","Echinopsis rhodotricha",3
"314","Cactaceae","Frailea castanea",1
"315","Cactaceae","Frailea gracillima",3
"316","Cactaceae","Frailea pumila",3
"317","Cactaceae","Frailea pygmaea",42
"318","Cactaceae","Frailea schilinzkyana",6
"319","Cactaceae","Gymnocalycium denudatum",8
"320","Cactaceae","Gymnocalycium hyptiacanthum",7
"321","Cactaceae","Gymnocalycium schroederianum",3
"322","Cactaceae","Gymnocalycium uruguayense",3
"323","Cactaceae","Gymnocalycium volskyi",1
"324","Cactaceae","Harrisia bonplandii",3
"325","Cactaceae","Harrisia martinii",1
"326","Cactaceae","Harrisia pomanensis",3
"327","Cactaceae","Harrisia regelii",2
"328","Cactaceae","Lepismium cruciforme",3
"329","Cactaceae","Lepismium lumbricoides",49
"330","Cactaceae","Opuntia arechavaletae",66
"331","Cactaceae","Opuntia aurantiaca",33
"332","Cactaceae","Opuntia bonaerensis",14
"333","Cactaceae","Opuntia cochenillifera",2
"334","Cactaceae","Opuntia elata",13
"335","Cactaceae","Opuntia ficus-indica",9
"336","Cactaceae","Opuntia megapotamica",6
"337","Cactaceae","Opuntia monacantha",30
"338","Cactaceae","Opuntia rioplatense",13
"339","Cactaceae","Opuntia salmiana",1
"340","Cactaceae","Opuntia sulphurea",4
"341","Cactaceae","Parodia buiningii",1
"342","Cactaceae","Parodia concinna",42
"343","Cactaceae","Parodia erinaceus",304
"344","Cactaceae","Parodia erubescens",5
"345","Cactaceae","Parodia fusca",1
"346","Cactaceae","Parodia herteri",2
"347","Cactaceae","Parodia langsdorfii",9
"348","Cactaceae","Parodia mammulosa",95
"349","Cactaceae","Parodia mueller-melchersii",6
"350","Cactaceae","Parodia neoarechavaletae",3
"351","Cactaceae","Parodia ottonis",94
"352","Cactaceae","Parodia oxycostata",1
"353","Cactaceae","Parodia scopa",93
"354","Cactaceae","Parodia tenuicylindrica",6
"355","Cactaceae","Parodia werdermanniana",1
"356","Cactaceae","Rhipsalis cereuscula",2
"357","Cactaceae","Rhipsalis floccosa",1
"358","Cactaceae","Selenicereus undatus",1
"359","Fabaceae","Acacia dealbata",26
"360","Fabaceae","Acacia elata",1
"361","Fabaceae","Acacia longifolia",106
"362","Fabaceae","Acacia mearnsii",2
"363","Fabaceae","Acacia melanoxylon",9
"364","Fabaceae","Acacia podalyriifolia",5
"365","Fabaceae","Acacia retinodes",1
"366","Fabaceae","Adesmia bicolor",7
"367","Fabaceae","Adesmia incana",2
"368","Fabaceae","Adesmia latifolia",4
"369","Fabaceae","Adesmia muricata",1
"370","Fabaceae","Adesmia punctata",12
"371","Fabaceae","Adesmia securigerifolia",18
"372","Fabaceae","Aeschynomene montevidensis",7
"373","Fabaceae","Albizia inundata",3
"374","Fabaceae","Albizia julibrissin",3
"375","Fabaceae","Ancistrotropis clitorioides",1
"376","Fabaceae","Arachis burkartii",7
"377","Fabaceae","Arachis villosa",12
"378","Fabaceae","Bauhinia forficata",32
"379","Fabaceae","Bauhinia variegata",1
"380","Fabaceae","Calliandra parviflora",1
"381","Fabaceae","Calliandra parvifolia",7
"382","Fabaceae","Calliandra selloi",7
"383","Fabaceae","Calliandra tweediei",60
"384","Fabaceae","Camptosema rubicundum",50
"385","Fabaceae","Canavalia bonariensis",15
"386","Fabaceae","Centrosema virginianum",8
"387","Fabaceae","Chamaecrista flexuosa",2
"388","Fabaceae","Chamaecrista repens",2
"389","Fabaceae","Chamaecrista rotundifolia",1
"390","Fabaceae","Clitoria nana",2
"391","Fabaceae","Collaea stenophylla",7
"392","Fabaceae","Ctenodon histrix",1
"393","Fabaceae","Desmanthus acuminatus",2
"394","Fabaceae","Desmanthus virgatus",4
"395","Fabaceae","Desmodium affine",3
"396","Fabaceae","Desmodium arechavaletae",1
"397","Fabaceae","Desmodium incanum",22
"398","Fabaceae","Discolobium psoraleifolium",1
"399","Fabaceae","Enterolobium contortisiliquum",9
"400","Fabaceae","Erythrina crista-galli",128
"401","Fabaceae","Erythrina speciosa",1
"402","Fabaceae","Erythrostemon gilliesii",2
"403","Fabaceae","Galactia australis",3
"404","Fabaceae","Galactia benthamiana",1
"405","Fabaceae","Galactia gracillima",1
"406","Fabaceae","Genista monspessulana",15
"407","Fabaceae","Geoffroea decorticans",31
"408","Fabaceae","Gleditsia amorphoides",3
"409","Fabaceae","Gleditsia triacanthos",54
"410","Fabaceae","Glycine max",2
"411","Fabaceae","Helicotropis hookeri",1
"412","Fabaceae","Indigofera asperifolia",1
"413","Fabaceae","Indigofera sabulicola",1
"414","Fabaceae","Indigofera suffruticosa",1
"415","Fabaceae","Inga uraguensis",22
"416","Fabaceae","Lathyrus latifolius",1
"417","Fabaceae","Lathyrus nervosus",21
"418","Fabaceae","Lathyrus odoratus",1
"419","Fabaceae","Lathyrus pubescens",15
"420","Fabaceae","Lathyrus pusillus",1
"421","Fabaceae","Lathyrus subulatus",5
"422","Fabaceae","Leptospron adenanthum",3
"423","Fabaceae","Lotus corniculatus",13
"424","Fabaceae","Lotus subbiflorus",5
"425","Fabaceae","Lotus tenuis",1
"426","Fabaceae","Lupinus albescens",12
"427","Fabaceae","Lupinus bracteolaris",73
"428","Fabaceae","Lupinus gibertianus",26
"429","Fabaceae","Lupinus lanatus",4
"430","Fabaceae","Lupinus linearis",4
"431","Fabaceae","Lupinus multiflorus",67
"432","Fabaceae","Macroptilium erythroloma",1
"433","Fabaceae","Macroptilium lathyroides",1
"434","Fabaceae","Macroptilium prostratum",14
"435","Fabaceae","Medicago arabica",13
"436","Fabaceae","Medicago lupulina",16
"437","Fabaceae","Medicago minima",1
"438","Fabaceae","Medicago polymorpha",9
"439","Fabaceae","Medicago sativa",15
"440","Fabaceae","Melilotus albus",18
"441","Fabaceae","Melilotus indicus",13
"442","Fabaceae","Mimosa amphigena",6
"443","Fabaceae","Mimosa australis",12
"444","Fabaceae","Mimosa axillarioides",1
"445","Fabaceae","Mimosa balansae",1
"446","Fabaceae","Mimosa berroi",2
"447","Fabaceae","Mimosa bifurca",6
"448","Fabaceae","Mimosa bimucronata",2
"449","Fabaceae","Mimosa burkartii",13
"450","Fabaceae","Mimosa cruenta",1
"451","Fabaceae","Mimosa dutrae",12
"452","Fabaceae","Mimosa flagellaris",12
"453","Fabaceae","Mimosa incana",1
"454","Fabaceae","Mimosa magentea",4
"455","Fabaceae","Mimosa paupera",1
"456","Fabaceae","Mimosa pigra",1
"457","Fabaceae","Mimosa pilulifera",5
"458","Fabaceae","Mimosa ramulosa",18
"459","Fabaceae","Mimosa reptans",4
"460","Fabaceae","Mimosa rocae",3
"461","Fabaceae","Mimosa schleidenii",6
"462","Fabaceae","Mimosa sprengelii",12
"463","Fabaceae","Mimosa strigillosa",2
"464","Fabaceae","Mimosa tweedieana",1
"465","Fabaceae","Mimosa uraguensis",3
"466","Fabaceae","Nanogalactia heterophylla",34
"467","Fabaceae","Nanogalactia pretiosa",1
"468","Fabaceae","Neltuma affinis",18
"469","Fabaceae","Neltuma nigra",5
"470","Fabaceae","Neptunia pubescens",1
"471","Fabaceae","Parapiptadenia rigida",3
"472","Fabaceae","Parkinsonia aculeata",52
"473","Fabaceae","Peltophorum dubium",3
"474","Fabaceae","Poecilanthe parviflora",2
"475","Fabaceae","Poiretia tetraphylla",7
"476","Fabaceae","Pomaria pilosa",2
"477","Fabaceae","Pomaria rubicunda",5
"478","Fabaceae","Psoralea pinnata",1
"479","Fabaceae","Rhynchosia corylifolia",4
"480","Fabaceae","Rhynchosia diversifolia",5
"481","Fabaceae","Rhynchosia lineata",2
"482","Fabaceae","Rhynchosia senna",3
"483","Fabaceae","Robinia pseudoacacia",2
"484","Fabaceae","Senegalia bonariensis",56
"485","Fabaceae","Senna corymbosa",53
"486","Fabaceae","Senna didymobotrya",2
"487","Fabaceae","Senna hirsuta",1
"488","Fabaceae","Senna nana",3
"489","Fabaceae","Senna occidentalis",2
"490","Fabaceae","Senna pendula",1
"491","Fabaceae","Senna scabriuscula",3
"492","Fabaceae","Sesbania punicea",68
"493","Fabaceae","Sesbania virgata",34
"494","Fabaceae","Spartium junceum",33
"495","Fabaceae","Stylosanthes leiocarpa",7
"496","Fabaceae","Stylosanthes montevidensis",5
"497","Fabaceae","Tephrosia cinerea",5
"498","Fabaceae","Tipuana tipu",8
"499","Fabaceae","Trifolium angustifolium",1
"500","Fabaceae","Trifolium campestre",4
"501","Fabaceae","Trifolium fragiferum",1
"502","Fabaceae","Trifolium polymorphum",27
"503","Fabaceae","Trifolium pratense",34
"504","Fabaceae","Trifolium repens",40
"505","Fabaceae","Trifolium subterraneum",3
"506","Fabaceae","Ulex europaeus",38
"507","Fabaceae","Vachellia astringens",1
"508","Fabaceae","Vachellia caven",132
"509","Fabaceae","Vachellia karroo",4
"510","Fabaceae","Vicia benghalensis",16
"511","Fabaceae","Vicia faba",1
"512","Fabaceae","Vicia graminea",1
"513","Fabaceae","Vicia montevidensis",1
"514","Fabaceae","Vicia sativa",22
"515","Fabaceae","Vicia villosa",1
"516","Fabaceae","Vigna longifolia",5
"517","Fabaceae","Vigna luteola",24
"518","Fabaceae","Wisteria sinensis",1
"519","Solanaceae","Bouchetia anomala",22
"520","Solanaceae","Brugmansia arborea",2
"521","Solanaceae","Brunfelsia australis",5
"522","Solanaceae","Brunfelsia pauciflora",2
"523","Solanaceae","Calibrachoa calycina",7
"524","Solanaceae","Calibrachoa humilis",10
"525","Solanaceae","Calibrachoa parviflora",14
"526","Solanaceae","Calibrachoa pubescens",2
"527","Solanaceae","Calibrachoa pygmea",12
"528","Solanaceae","Calibrachoa scabridula",7
"529","Solanaceae","Capsicum annuum",1
"530","Solanaceae","Cestrum parqui",25
"531","Solanaceae","Cestrum strigilatum",4
"532","Solanaceae","Datura ferox",18
"533","Solanaceae","Jaborosa integrifolia",11
"534","Solanaceae","Jaborosa runcinata",41
"535","Solanaceae","Lycium boerhaviifolium",5
"536","Solanaceae","Lycium cestroides",1
"537","Solanaceae","Lycium ciliatum",2
"538","Solanaceae","Nicandra physalodes",3
"539","Solanaceae","Nicotiana alata",7
"540","Solanaceae","Nicotiana bonariensis",35
"541","Solanaceae","Nicotiana glauca",24
"542","Solanaceae","Nicotiana longiflora",67
"543","Solanaceae","Nicotiana tabacum",20
"544","Solanaceae","Nierembergia aristata",9
"545","Solanaceae","Nierembergia calycina",26
"546","Solanaceae","Nierembergia ericoides",25
"547","Solanaceae","Nierembergia graveolens",1
"548","Solanaceae","Nierembergia linariifolia",15
"549","Solanaceae","Nierembergia pinifolia",1
"550","Solanaceae","Nierembergia rivularis",7
"551","Solanaceae","Nierembergia scoparia",15
"552","Solanaceae","Petunia axillaris",124
"553","Solanaceae","Petunia integrifolia",36
"554","Solanaceae","Physalis angulata",15
"555","Solanaceae","Physalis peruviana",13
"556","Solanaceae","Physalis viscosa",7
"557","Solanaceae","Salpichroa origanifolia",24
"558","Solanaceae","Schwenckia curviflora",8
"559","Solanaceae","Sclerophylax lorentzianus",4
"560","Solanaceae","Sessea vestioides",1
"561","Solanaceae","Solanum adscendens",1
"562","Solanaceae","Solanum americanum",40
"563","Solanaceae","Solanum amygdalifolium",22
"564","Solanaceae","Solanum atropurpureum",10
"565","Solanaceae","Solanum betaceum",2
"566","Solanaceae","Solanum bonariense",17
"567","Solanaceae","Solanum chenopodioides",28
"568","Solanaceae","Solanum commersonii",70
"569","Solanaceae","Solanum glaucophyllum",45
"570","Solanaceae","Solanum granulosoleprosum",2
"571","Solanaceae","Solanum guaraniticum",1
"572","Solanaceae","Solanum laxum",71
"573","Solanaceae","Solanum lycopersicum",3
"574","Solanaceae","Solanum malmeanum",1
"575","Solanaceae","Solanum mauritianum",61
"576","Solanaceae","Solanum pilcomayense",1
"577","Solanaceae","Solanum platense",1
"578","Solanaceae","Solanum pseudocapsicum",44
"579","Solanaceae","Solanum pygmaeum",1
"580","Solanaceae","Solanum reineckii",10
"581","Solanaceae","Solanum sisymbriifolium",149
"582","Solanaceae","Solanum tuberosum",1
"583","Solanaceae","Solanum viarum",44
"584","Solanaceae","Streptosolen jamesonii",1
"585","Solanaceae","Vassobia breviflora",6
